template,sentence
complex,"Although it was late, a site didn’t promote any door."
simple,A number didn’t face any arm.
rel_clause,The number that Mary saw didn’t face any arm.
adv_clause,"After the incident, a number didn’t face any arm."
complex,"Although it was late, a number didn’t face any arm."
simple,A eye didn’t form any point.
rel_clause,The eye that Alex saw didn’t form any point.
adv_clause,"After the incident, a eye didn’t form any point."
complex,"Although it was late, a eye didn’t form any point."
simple,A society didn’t defeat any field.
rel_clause,The society that John saw didn’t defeat any field.
adv_clause,"After the incident, a society didn’t defeat any field."
complex,"Although it was late, a society didn’t defeat any field."
simple,A hair didn’t remove any service.
rel_clause,The hair that Mary saw didn’t remove any service.
adv_clause,"After the incident, a hair didn’t remove any service."
complex,"Although it was late, a hair didn’t remove any service."
simple,A district didn’t conduct any life.
rel_clause,The district that Alex saw didn’t conduct any life.
adv_clause,"After the incident, a district didn’t conduct any life."
complex,"Although it was late, a district didn’t conduct any life."
simple,A football didn’t shape any law.
rel_clause,The football that Alex saw didn’t shape any law.
adv_clause,"After the incident, a football didn’t shape any law."
complex,"Although it was late, a football didn’t shape any law."
simple,A day didn’t contain any part.
rel_clause,The day that Mary saw didn’t contain any part.
adv_clause,"After the incident, a day didn’t contain any part."
complex,"Although it was late, a day didn’t contain any part."
simple,A death didn’t study any woman.
rel_clause,The death that Mary saw didn’t study any woman.
adv_clause,"After the incident, a death didn’t study any woman."
complex,"Although it was late, a death didn’t study any woman."
simple,A family didn’t drive any site.
rel_clause,The family that David saw didn’t drive any site.
adv_clause,"After the incident, a family didn’t drive any site."
complex,"Although it was late, a family didn’t drive any site."
simple,A year didn’t spend any world.
rel_clause,The year that David saw didn’t spend any world.
adv_clause,"After the incident, a year didn’t spend any world."
complex,"Although it was late, a year didn’t spend any world."
simple,A music didn’t paint any door.
rel_clause,The music that Alex saw didn’t paint any door.
adv_clause,"After the incident, a music didn’t paint any door."
complex,"Although it was late, a music didn’t paint any door."
simple,A program didn’t feature any court.
rel_clause,The program that Alex saw didn’t feature any court.
adv_clause,"After the incident, a program didn’t feature any court."
complex,"Although it was late, a program didn’t feature any court."
simple,A student didn’t ask any world.
rel_clause,The student that Sarah saw didn’t ask any world.
adv_clause,"After the incident, a student didn’t ask any world."
complex,"Although it was late, a student didn’t ask any world."
simple,A point didn’t carry any station.
rel_clause,The point that Alex saw didn’t carry any station.
adv_clause,"After the incident, a point didn’t carry any station."
complex,"Although it was late, a point didn’t carry any station."
simple,A hair didn’t offer any country.
rel_clause,The hair that John saw didn’t offer any country.
adv_clause,"After the incident, a hair didn’t offer any country."
complex,"Although it was late, a hair didn’t offer any country."
simple,A period didn’t share any station.
rel_clause,The period that John saw didn’t share any station.
adv_clause,"After the incident, a period didn’t share any station."
complex,"Although it was late, a period didn’t share any station."
simple,A division didn’t develop any society.
rel_clause,The division that Alex saw didn’t develop any society.
adv_clause,"After the incident, a division didn’t develop any society."
complex,"Although it was late, a division didn’t develop any society."
simple,A wife didn’t drive any book.
rel_clause,The wife that David saw didn’t drive any book.
adv_clause,"After the incident, a wife didn’t drive any book."
complex,"Although it was late, a wife didn’t drive any book."
simple,A wife didn’t accept any mother.
rel_clause,The wife that Mary saw didn’t accept any mother.
adv_clause,"After the incident, a wife didn’t accept any mother."
complex,"Although it was late, a wife didn’t accept any mother."
simple,A area didn’t raise any man.
rel_clause,The area that Alex saw didn’t raise any man.
adv_clause,"After the incident, a area didn’t raise any man."
complex,"Although it was late, a area didn’t raise any man."
simple,A brother didn’t support any book.
rel_clause,The brother that Sarah saw didn’t support any book.
adv_clause,"After the incident, a brother didn’t support any book."
complex,"Although it was late, a brother didn’t support any book."
simple,A championship didn’t join any century.
rel_clause,The championship that David saw didn’t join any century.
adv_clause,"After the incident, a championship didn’t join any century."
complex,"Although it was late, a championship didn’t join any century."
simple,A age didn’t score any girl.
rel_clause,The age that Alex saw didn’t score any girl.
adv_clause,"After the incident, a age didn’t score any girl."
complex,"Although it was late, a age didn’t score any girl."
simple,A form didn’t study any century.
rel_clause,The form that Sarah saw didn’t study any century.
adv_clause,"After the incident, a form didn’t study any century."
complex,"Although it was late, a form didn’t study any century."
simple,A line didn’t invite any development.
rel_clause,The line that David saw didn’t invite any development.
adv_clause,"After the incident, a line didn’t invite any development."
complex,"Although it was late, a line didn’t invite any development."
simple,A state didn’t reach any thing.
rel_clause,The state that David saw didn’t reach any thing.
adv_clause,"After the incident, a state didn’t reach any thing."
complex,"Although it was late, a state didn’t reach any thing."
simple,A war didn’t strike any rock.
rel_clause,The war that Alex saw didn’t strike any rock.
adv_clause,"After the incident, a war didn’t strike any rock."
complex,"Although it was late, a war didn’t strike any rock."
simple,A football didn’t thank any election.
rel_clause,The football that John saw didn’t thank any election.
adv_clause,"After the incident, a football didn’t thank any election."
complex,"Although it was late, a football didn’t thank any election."
simple,A record didn’t air any man.
rel_clause,The record that Sarah saw didn’t air any man.
adv_clause,"After the incident, a record didn’t air any man."
complex,"Although it was late, a record didn’t air any man."
simple,A thing didn’t achieve any player.
rel_clause,The thing that Alex saw didn’t achieve any player.
adv_clause,"After the incident, a thing didn’t achieve any player."
complex,"Although it was late, a thing didn’t achieve any player."
simple,A age didn’t carry any record.
rel_clause,The age that Sarah saw didn’t carry any record.
adv_clause,"After the incident, a age didn’t carry any record."
complex,"Although it was late, a age didn’t carry any record."
simple,A book didn’t build any light.
rel_clause,The book that David saw didn’t build any light.
adv_clause,"After the incident, a book didn’t build any light."
complex,"Although it was late, a book didn’t build any light."
simple,A program didn’t cover any eye.
rel_clause,The program that Sarah saw didn’t cover any eye.
adv_clause,"After the incident, a program didn’t cover any eye."
complex,"Although it was late, a program didn’t cover any eye."
simple,A director didn’t feature any form.
rel_clause,The director that Mary saw didn’t feature any form.
adv_clause,"After the incident, a director didn’t feature any form."
complex,"Although it was late, a director didn’t feature any form."
simple,A way didn’t control any record.
rel_clause,The way that David saw didn’t control any record.
adv_clause,"After the incident, a way didn’t control any record."
complex,"Although it was late, a way didn’t control any record."
simple,A station didn’t attend any state.
rel_clause,The station that Sarah saw didn’t attend any state.
adv_clause,"After the incident, a station didn’t attend any state."
complex,"Although it was late, a station didn’t attend any state."
simple,A system didn’t lose any air.
rel_clause,The system that David saw didn’t lose any air.
adv_clause,"After the incident, a system didn’t lose any air."
complex,"Although it was late, a system didn’t lose any air."
simple,A side didn’t finish any year.
rel_clause,The side that John saw didn’t finish any year.
adv_clause,"After the incident, a side didn’t finish any year."
complex,"Although it was late, a side didn’t finish any year."
simple,A arm didn’t promote any death.
rel_clause,The arm that Sarah saw didn’t promote any death.
adv_clause,"After the incident, a arm didn’t promote any death."
complex,"Although it was late, a arm didn’t promote any death."
simple,A man didn’t grab any brother.
rel_clause,The man that Sarah saw didn’t grab any brother.
adv_clause,"After the incident, a man didn’t grab any brother."
complex,"Although it was late, a man didn’t grab any brother."
simple,A force didn’t protect any region.
rel_clause,The force that Mary saw didn’t protect any region.
adv_clause,"After the incident, a force didn’t protect any region."
complex,"Although it was late, a force didn’t protect any region."
simple,A school didn’t change any grind.
rel_clause,The school that John saw didn’t change any grind.
adv_clause,"After the incident, a school didn’t change any grind."
complex,"Although it was late, a school didn’t change any grind."
simple,A member didn’t obtain any program.
rel_clause,The member that John saw didn’t obtain any program.
adv_clause,"After the incident, a member didn’t obtain any program."
complex,"Although it was late, a member didn’t obtain any program."
simple,A record didn’t provide any level.
rel_clause,The record that David saw didn’t provide any level.
adv_clause,"After the incident, a record didn’t provide any level."
complex,"Although it was late, a record didn’t provide any level."
simple,A division didn’t ask any town.
rel_clause,The division that John saw didn’t ask any town.
adv_clause,"After the incident, a division didn’t ask any town."
complex,"Although it was late, a division didn’t ask any town."
simple,A hair didn’t buy any director.
rel_clause,The hair that Alex saw didn’t buy any director.
adv_clause,"After the incident, a hair didn’t buy any director."
complex,"Although it was late, a hair didn’t buy any director."
simple,A city didn’t grab any program.
rel_clause,The city that David saw didn’t grab any program.
adv_clause,"After the incident, a city didn’t grab any program."
complex,"Although it was late, a city didn’t grab any program."
simple,A system didn’t introduce any land.
rel_clause,The system that David saw didn’t introduce any land.
adv_clause,"After the incident, a system didn’t introduce any land."
complex,"Although it was late, a system didn’t introduce any land."
simple,A player didn’t create any eye.
rel_clause,The player that David saw didn’t create any eye.
adv_clause,"After the incident, a player didn’t create any eye."
complex,"Although it was late, a player didn’t create any eye."
simple,A land didn’t join any hair.
rel_clause,The land that Alex saw didn’t join any hair.
adv_clause,"After the incident, a land didn’t join any hair."
complex,"Although it was late, a land didn’t join any hair."
simple,A area didn’t spend any career.
rel_clause,The area that Alex saw didn’t spend any career.
adv_clause,"After the incident, a area didn’t spend any career."
complex,"Although it was late, a area didn’t spend any career."
simple,A form didn’t complete any development.
rel_clause,The form that David saw didn’t complete any development.
adv_clause,"After the incident, a form didn’t complete any development."
complex,"Although it was late, a form didn’t complete any development."
simple,A region didn’t thank any head.
rel_clause,The region that Sarah saw didn’t thank any head.
adv_clause,"After the incident, a region didn’t thank any head."
complex,"Although it was late, a region didn’t thank any head."
simple,A part didn’t protect any age.
rel_clause,The part that Sarah saw didn’t protect any age.
adv_clause,"After the incident, a part didn’t protect any age."
complex,"Although it was late, a part didn’t protect any age."
simple,A use didn’t avoid any court.
rel_clause,The use that David saw didn’t avoid any court.
adv_clause,"After the incident, a use didn’t avoid any court."
complex,"Although it was late, a use didn’t avoid any court."
simple,A age didn’t offer any room.
rel_clause,The age that Sarah saw didn’t offer any room.
adv_clause,"After the incident, a age didn’t offer any room."
complex,"Although it was late, a age didn’t offer any room."
simple,A point didn’t give any city.
rel_clause,The point that John saw didn’t give any city.
adv_clause,"After the incident, a point didn’t give any city."
complex,"Although it was late, a point didn’t give any city."
simple,A girl didn’t gain any rock.
rel_clause,The girl that John saw didn’t gain any rock.
adv_clause,"After the incident, a girl didn’t gain any rock."
complex,"Although it was late, a girl didn’t gain any rock."
simple,A family didn’t obtain any age.
rel_clause,The family that Sarah saw didn’t obtain any age.
adv_clause,"After the incident, a family didn’t obtain any age."
complex,"Although it was late, a family didn’t obtain any age."
simple,A season didn’t include any office.
rel_clause,The season that Sarah saw didn’t include any office.
adv_clause,"After the incident, a season didn’t include any office."
complex,"Although it was late, a season didn’t include any office."
simple,A fire didn’t mark any music.
rel_clause,The fire that David saw didn’t mark any music.
adv_clause,"After the incident, a fire didn’t mark any music."
complex,"Although it was late, a fire didn’t mark any music."
simple,A brother didn’t host any church.
rel_clause,The brother that Mary saw didn’t host any church.
adv_clause,"After the incident, a brother didn’t host any church."
complex,"Although it was late, a brother didn’t host any church."
simple,A fire didn’t cross any site.
rel_clause,The fire that Alex saw didn’t cross any site.
adv_clause,"After the incident, a fire didn’t cross any site."
complex,"Although it was late, a fire didn’t cross any site."
simple,A war didn’t open any period.
rel_clause,The war that John saw didn’t open any period.
adv_clause,"After the incident, a war didn’t open any period."
complex,"Although it was late, a war didn’t open any period."
simple,A mother didn’t complete any football.
rel_clause,The mother that Mary saw didn’t complete any football.
adv_clause,"After the incident, a mother didn’t complete any football."
complex,"Although it was late, a mother didn’t complete any football."
simple,A church didn’t reduce any summer.
rel_clause,The church that John saw didn’t reduce any summer.
adv_clause,"After the incident, a church didn’t reduce any summer."
complex,"Although it was late, a church didn’t reduce any summer."
simple,A place didn’t transfer any system.
rel_clause,The place that David saw didn’t transfer any system.
adv_clause,"After the incident, a place didn’t transfer any system."
complex,"Although it was late, a place didn’t transfer any system."
simple,A mind didn’t protect any society.
rel_clause,The mind that Mary saw didn’t protect any society.
adv_clause,"After the incident, a mind didn’t protect any society."
complex,"Although it was late, a mind didn’t protect any society."
simple,A light didn’t gain any death.
rel_clause,The light that Alex saw didn’t gain any death.
adv_clause,"After the incident, a light didn’t gain any death."
complex,"Although it was late, a light didn’t gain any death."
simple,A championship didn’t finish any city.
rel_clause,The championship that Mary saw didn’t finish any city.
adv_clause,"After the incident, a championship didn’t finish any city."
complex,"Although it was late, a championship didn’t finish any city."
simple,A place didn’t throw any music.
rel_clause,The place that Mary saw didn’t throw any music.
adv_clause,"After the incident, a place didn’t throw any music."
complex,"Although it was late, a place didn’t throw any music."
simple,A eye didn’t give any room.
rel_clause,The eye that David saw didn’t give any room.
adv_clause,"After the incident, a eye didn’t give any room."
complex,"Although it was late, a eye didn’t give any room."
simple,A state didn’t score any wife.
rel_clause,The state that John saw didn’t score any wife.
adv_clause,"After the incident, a state didn’t score any wife."
complex,"Although it was late, a state didn’t score any wife."
simple,A country didn’t give any year.
rel_clause,The country that Mary saw didn’t give any year.
adv_clause,"After the incident, a country didn’t give any year."
complex,"Although it was late, a country didn’t give any year."
simple,A office didn’t cut any word.
rel_clause,The office that Mary saw didn’t cut any word.
adv_clause,"After the incident, a office didn’t cut any word."
complex,"Although it was late, a office didn’t cut any word."
simple,A war didn’t raise any wife.
rel_clause,The war that Mary saw didn’t raise any wife.
adv_clause,"After the incident, a war didn’t raise any wife."
complex,"Although it was late, a war didn’t raise any wife."
simple,A period didn’t pay any service.
rel_clause,The period that David saw didn’t pay any service.
adv_clause,"After the incident, a period didn’t pay any service."
complex,"Although it was late, a period didn’t pay any service."
simple,A student didn’t mark any use.
rel_clause,The student that Alex saw didn’t mark any use.
adv_clause,"After the incident, a student didn’t mark any use."
complex,"Although it was late, a student didn’t mark any use."
simple,A division didn’t build any power.
rel_clause,The division that Sarah saw didn’t build any power.
adv_clause,"After the incident, a division didn’t build any power."
complex,"Although it was late, a division didn’t build any power."
simple,A mother didn’t offer any air.
rel_clause,The mother that David saw didn’t offer any air.
adv_clause,"After the incident, a mother didn’t offer any air."
complex,"Although it was late, a mother didn’t offer any air."
simple,A form didn’t reduce any war.
rel_clause,The form that Sarah saw didn’t reduce any war.
adv_clause,"After the incident, a form didn’t reduce any war."
complex,"Although it was late, a form didn’t reduce any war."
simple,A death didn’t present any hair.
rel_clause,The death that David saw didn’t present any hair.
adv_clause,"After the incident, a death didn’t present any hair."
complex,"Although it was late, a death didn’t present any hair."
simple,A number didn’t thank any project.
rel_clause,The number that David saw didn’t thank any project.
adv_clause,"After the incident, a number didn’t thank any project."
complex,"Although it was late, a number didn’t thank any project."
simple,A part didn’t handle any government.
rel_clause,The part that Mary saw didn’t handle any government.
adv_clause,"After the incident, a part didn’t handle any government."
complex,"Although it was late, a part didn’t handle any government."
simple,A station didn’t kill any rock.
rel_clause,The station that Sarah saw didn’t kill any rock.
adv_clause,"After the incident, a station didn’t kill any rock."
complex,"Although it was late, a station didn’t kill any rock."
simple,A word didn’t finish any title.
rel_clause,The word that Sarah saw didn’t finish any title.
adv_clause,"After the incident, a word didn’t finish any title."
complex,"Although it was late, a word didn’t finish any title."
simple,A site didn’t raise any war.
rel_clause,The site that David saw didn’t raise any war.
adv_clause,"After the incident, a site didn’t raise any war."
complex,"Although it was late, a site didn’t raise any war."
simple,A hand didn’t provide any class.
rel_clause,The hand that David saw didn’t provide any class.
adv_clause,"After the incident, a hand didn’t provide any class."
complex,"Although it was late, a hand didn’t provide any class."
simple,A region didn’t produce any level.
rel_clause,The region that Alex saw didn’t produce any level.
adv_clause,"After the incident, a region didn’t produce any level."
complex,"Although it was late, a region didn’t produce any level."
simple,A hand didn’t cut any number.
rel_clause,The hand that Sarah saw didn’t cut any number.
adv_clause,"After the incident, a hand didn’t cut any number."
complex,"Although it was late, a hand didn’t cut any number."
simple,A project didn’t shape any set.
rel_clause,The project that Mary saw didn’t shape any set.
adv_clause,"After the incident, a project didn’t shape any set."
complex,"Although it was late, a project didn’t shape any set."
simple,A government didn’t provide any player.
rel_clause,The government that Sarah saw didn’t provide any player.
adv_clause,"After the incident, a government didn’t provide any player."
complex,"Although it was late, a government didn’t provide any player."
simple,A place didn’t abandon any version.
rel_clause,The place that Mary saw didn’t abandon any version.
adv_clause,"After the incident, a place didn’t abandon any version."
complex,"Although it was late, a place didn’t abandon any version."
simple,A light didn’t own any state.
rel_clause,The light that Alex saw didn’t own any state.
adv_clause,"After the incident, a light didn’t own any state."
complex,"Although it was late, a light didn’t own any state."
simple,A use didn’t award any form.
rel_clause,The use that David saw didn’t award any form.
adv_clause,"After the incident, a use didn’t award any form."
complex,"Although it was late, a use didn’t award any form."
simple,A life didn’t acquire any player.
rel_clause,The life that Alex saw didn’t acquire any player.
adv_clause,"After the incident, a life didn’t acquire any player."
complex,"Although it was late, a life didn’t acquire any player."
simple,A room didn’t strike any life.
rel_clause,The room that John saw didn’t strike any life.
adv_clause,"After the incident, a room didn’t strike any life."
complex,"Although it was late, a room didn’t strike any life."
simple,A fire didn’t remove any rock.
rel_clause,The fire that Sarah saw didn’t remove any rock.
adv_clause,"After the incident, a fire didn’t remove any rock."
complex,"Although it was late, a fire didn’t remove any rock."
simple,A man didn’t contain any life.
rel_clause,The man that David saw didn’t contain any life.
adv_clause,"After the incident, a man didn’t contain any life."
complex,"Although it was late, a man didn’t contain any life."
simple,A line didn’t invite any century.
rel_clause,The line that Sarah saw didn’t invite any century.
adv_clause,"After the incident, a line didn’t invite any century."
complex,"Although it was late, a line didn’t invite any century."
simple,A hair didn’t answer any union.
rel_clause,The hair that Alex saw didn’t answer any union.
adv_clause,"After the incident, a hair didn’t answer any union."
complex,"Although it was late, a hair didn’t answer any union."
simple,A band didn’t face any game.
rel_clause,The band that Sarah saw didn’t face any game.
adv_clause,"After the incident, a band didn’t face any game."
complex,"Although it was late, a band didn’t face any game."
simple,A part didn’t issue any player.
rel_clause,The part that Sarah saw didn’t issue any player.
adv_clause,"After the incident, a part didn’t issue any player."
complex,"Although it was late, a part didn’t issue any player."
simple,A age didn’t raise any government.
rel_clause,The age that David saw didn’t raise any government.
adv_clause,"After the incident, a age didn’t raise any government."
complex,"Although it was late, a age didn’t raise any government."
simple,A land didn’t introduce any wife.
rel_clause,The land that Alex saw didn’t introduce any wife.
adv_clause,"After the incident, a land didn’t introduce any wife."
complex,"Although it was late, a land didn’t introduce any wife."
simple,A production didn’t contain any name.
rel_clause,The production that David saw didn’t contain any name.
adv_clause,"After the incident, a production didn’t contain any name."
complex,"Although it was late, a production didn’t contain any name."
simple,A town didn’t change any point.
rel_clause,The town that Alex saw didn’t change any point.
adv_clause,"After the incident, a town didn’t change any point."
complex,"Although it was late, a town didn’t change any point."
simple,A project didn’t handle any school.
rel_clause,The project that John saw didn’t handle any school.
adv_clause,"After the incident, a project didn’t handle any school."
complex,"Although it was late, a project didn’t handle any school."
simple,A area didn’t cover any word.
rel_clause,The area that Mary saw didn’t cover any word.
adv_clause,"After the incident, a area didn’t cover any word."
complex,"Although it was late, a area didn’t cover any word."
simple,A project didn’t lose any woman.
rel_clause,The project that John saw didn’t lose any woman.
adv_clause,"After the incident, a project didn’t lose any woman."
complex,"Although it was late, a project didn’t lose any woman."
simple,A member didn’t pick any land.
rel_clause,The member that Sarah saw didn’t pick any land.
adv_clause,"After the incident, a member didn’t pick any land."
complex,"Although it was late, a member didn’t pick any land."
simple,A head didn’t avoid any thing.
rel_clause,The head that Sarah saw didn’t avoid any thing.
adv_clause,"After the incident, a head didn’t avoid any thing."
complex,"Although it was late, a head didn’t avoid any thing."
simple,A door didn’t adopt any music.
rel_clause,The door that John saw didn’t adopt any music.
adv_clause,"After the incident, a door didn’t adopt any music."
complex,"Although it was late, a door didn’t adopt any music."
simple,A place didn’t reduce any line.
rel_clause,The place that David saw didn’t reduce any line.
adv_clause,"After the incident, a place didn’t reduce any line."
complex,"Although it was late, a place didn’t reduce any line."
simple,A football didn’t issue any summer.
rel_clause,The football that Sarah saw didn’t issue any summer.
adv_clause,"After the incident, a football didn’t issue any summer."
complex,"Although it was late, a football didn’t issue any summer."
simple,A force didn’t buy any record.
rel_clause,The force that John saw didn’t buy any record.
adv_clause,"After the incident, a force didn’t buy any record."
complex,"Although it was late, a force didn’t buy any record."
simple,A player didn’t lift any state.
rel_clause,The player that Mary saw didn’t lift any state.
adv_clause,"After the incident, a player didn’t lift any state."
complex,"Although it was late, a player didn’t lift any state."
simple,A world didn’t reduce any force.
rel_clause,The world that Mary saw didn’t reduce any force.
adv_clause,"After the incident, a world didn’t reduce any force."
complex,"Although it was late, a world didn’t reduce any force."
simple,A record didn’t sell any thing.
rel_clause,The record that Sarah saw didn’t sell any thing.
